 a- 1 ; indice  personnel  sujet  3ème  pers.  du  sing.  :  il,  elle  (+  marque  temporelle  amalgamée) 
 ame ; il  (+  présent) 
 amaa ; il  (+  futur) 
 aa ; il  (+  passé) 
 a- 2 ; a.  particule  relative  :  qui  (+  verbe  d'état),  qui  (+  nom  en  apposition) 
 at  a  e  gaan ; l'homme  qui  est  grand,  l'homme  grand 
 ûöö  a  e  bobotr ; l'arbre  qui  est  sec,  l'arbre  sec 
 u  at  a  u  biigaan ; tu  es  un  homme  orgueilleux 
 tavëët  a  ödra  biju  Hulup; les  gens  qui  sont  restés  à  Hulup   
 Poou  a  keiny... ; Poou, son  cadet...  b.  parce  que  (mis  pour  anyin  a  ou  caan  a) 
 öhmune  he  jeem  a  ötinaa  be  thuutr ; nous  sommes  venus,  car  nous  voudrions  pêcher 
 aa ; indice  personnel  sujet  3ême  pers.  du  sing.  (+  passé) 
 aa  he  but ; il  est  parti  (cf.  a-1) 
 aba ; caresser 
 abwoo  +  et  ++;
 aba  wanakat ; caresser  l'enfant 
 abwöö  nya ; me  caresser 
 abwöö  troohnen ; égaliser  avec  la  main  les  massifs  d'ignames 
 abâ  [abæ] ; mesurer  par  brasses 
 aböö  ++  ;
 aben ; balancier  de  pirogue 
 ta  jee  hu  cici  a  e  hu  aben ; les  pirogues  à  balancier 
 abenyin ; son  épaule 
 abenyik ; mon  -
 abenyâm ; ton  -  (cf.  benyin) 
 ace ;" ""la  vieille""  (terme  familier)  (jeu  de  mot  par  inversion  des  deux  dernières  syllabes  de  soohmwecaa. 
 Ces  métathèses  sont  courantes  avec  les  noms  propres)"
 acewahic ; nom  de  deux  petites  porcelaines  blanches  attachées  ensemble  (ancienne  monnaie  traditionnelle) 
 adraba ; dent  de  sagesse 
 waadraba ; nom  d'un  petit  coquillage   
 adre-  (=  are-); indice  personnel  sujet  3ème  pers.  du  pluriel :  ils,  elles  (nombreux)  (+  marque  temporelle
 adreme  =  areme; ils,  elles  (+  présent)
 adremaa  =  aremaa ; ils,  elles  (+  futur)
 adree  =  aree ; ils,  elles  (+  passé)
 adree  (=  aree); ils,  elles  (+  passé)
 adree  kuc  u ; ils  t'ont  battu  (cf.  adre-)
 adreem ; autrefois
 haba  adreem  me  helââng ; autrefois,  c'était  comme  ça
 adremaa  (=  aremaa); ils,  elles  (+  futur)
 adremaa  han ; ils  mangeront  (cf.  adre-)
 adreme  (=  areme); ils,  elles  (+  présent)
 adreme  han ; ils  mangent  (cf.  adre-)
 aeak ; Mille-pattes
 aeâ ;" a.  oiseau  héron,  ""long-cou"",  Ardea  sacra  albolineata  b.  nom  d'un  casse-tête  en  forme  de  bec  d'oiseau"
 aeâân ; son  conjoint  (époux,  épouse)
 aeöök ; Mon  —
 aeââm ; Ton  —
 moomo  aeâân  thaan ; l'épouse  du  chef
 aec ; poisson :  requin
 aen ; coquillage :  Turbo  sp.
 ahmëtr ; desséché  par  le  feu,  noirci  par  la  fumée    
 ahnyöng; asticot
 waahnyöng; un  asticot 
 ai; suffixe  directionnel  aprës  noms  locatifs  et  toponymes : vers
 öl  hoot  ai ; monter  à  terre,  débarquer 
 ogeme  keec  ut  Hwaadrila ai;  je  fuis  vers  Hwaadrila  
 aai  1; découvrir  (ex.  enlever  la  paille  du  toit,  la  couverture  du  four),  dégager 
aai uma; enlever  la  paille  du  toit
 aai  2; natte  rustique  en  palme  de  cocotier  (utilisée  pour  tapisser  les  parois) 
 jee  aii = jee esaai; les  palmes  de  cocotier  tressées
 tangaai; panier  en  feuille  de  cocotier    
 ailapë; plante : Malvastrum  coromandelianum  Garcke,  Malvacée     
 aiö-; verbe  injonctif : venir
 aiöu  ka  han !; viens  manger !
 aiöbun ! ; venez ! 
 ajilaat ; herbe  (terme  général)
 ajilaat  papanu; algues
 saajilaat; pelouse
 ajilenu; nervure centrale des folioles de la palme de cocotier
 waajilenu; une  nervure  d'une  foliole  (cf.  jilenu)
 ajinyök  ; canne  à  pêche
 ajinyöp  ;" plante : ""faux  tabac"",  Messerschmidia  argentea  (L.)  Johnst.,  Borraginacée  (médicament  contre  la  gratte)"
 ajûen      ; sa  clavicule
 ajûök; ma -
 ajûâm  [ajûœm]; ta  -
 ak; foie                     
 akik; mon  foie
 akâm; ton -
 akiny; son - 
 akaû; fumer  (du  poisson,  du  coprah)
 hokoû  ++;
 akaû  jee wââ ; fumer  les  poissons  
 hököû wäâ ; fumer  du  poisson       
 akofi  ; pincettes  (pour  pierres  du  four)
 aakû  ; canne  à  sucre
 hötöö  aakû ; cueillir  de  la  canne  à  sucre  (cf.  -kû)      
 alai; limpide,  claire  (eau)
 alen  ; pousser  devant  soi  (volailles,  poissons)
 alin ++;
 alen  jee  wââ ; pousser  les  poissons  
 alin köiö ; nom  d'une  pêche  collective  pratiquée  à  marée  descendante  avec un  très  long  filet  végétal  (druba) 
 -alep; dans :     
 waalep ; braise
 vealep ; tas  de  braises
 aletr  ; ramer
 aleû  ; appeler  quelqu'un  par  signes 
 alûû +; 
 aleû  wanakat ; appeler  l'enfant  par  des  signes  
 alûû  örin  ; les  appeler  par  signes 
 ûalû; faire  des  signes  (intr.)  
 alin  ; (cf.  alen  pousser  devant  soi) 
 am ; a.  sciure,  effritement  b.  avoir  des  oeufs  (crustacés) 
 amen ; sa  sciure 
 ut-am (= udham) ; allume-feu 
 amaa ; il,  elle  (+  futur) 
 amaa  han ; il  mangera  (cf.  a- 1) 
 ambaa ; plante : flamboyant,  Serianthes  sp.,  Légumineuse 
 ûambaa ; un pied  de –    
 ame  ; il,  elle  (+  présent) 
 ame  han ; il  mange 
 ame  wâ  meic  ame  hlâ ; il  voit  le  feu  qui  brûle  (cf.  a- 1) 
 ame 2 ; écume sur la mer  (irritante  pour  les  yeux)
 amëë ; plante :  érythrine,  Erythrina sp., Légumineuse
 üamëë; un pied  d' –    
 amëm ; broyé, effrité, en décomposition
 ooamëmâ; broyer,  écraser  (cf. am)
 amëmëm; s'écrabouiller (ex. fruits trop mûrs  qui  tombent  les  uns  sur  les  autres)  (cf. am  et  amëm) 
 amun ; plantes:  Cypéracées  d'arrière  mangrove,  Fimbristylis  ferruginea,  Cladium  junceum 
 amwe ; pêche à  la  plonge  avec  sagaie  ou  fusil  sous-marin 
 an  1 ; puits,  nappe  d'eau  souterraine 
 an  2; manger  quelque  chose 
 han  ++  ame  an  koko ; il  mange  l'igname 
 ame  han  koko ; il  mange  de  l'igname   
 an  3; sa nourriture 
 ök; ma -
 âm; ta -
 ök  koko ; mon  igname  (à  manger) 
 ök  wââ  ; mon poisson  (à  manger)  
 an  wââ ; son -
 wââ  an  moomo ; le  poisson  de  la  femme 
 aan ; son sexe,  ses  organes  sexuels  (fille  ou  garçon) 
 aak ; mon sexe 
 aam ; ton  sexe
 anâânen ; son  acte 
 jee  anâânen  hnâân  hobikööta ; ses  actes  envers  nous 
 anee ; si,  ou,  ou  bien 
 anee  weeny  ka  he  jeem  me  amaa  wâ ; s'il  veut  venir,  il  le  verra 
 walaang  ang  anee  ju  nyi ; aujourd'hui ou demain 
 anee  soo  anee  kong ; ou  bien,  ou  mal  (cf.  -nee) 
 -anen ; suffixeﾠ: son action
 ûnykûmaanen ; sa  pensée  (cf.  ûnykûme) 
 ûhûkötiâânen ; sa  protestation  (cf.  hûkötiâ) 
 huliwaanen ; son  travail  (cf.  huliwa) 
 wâânen   ; sa vision  (cf.  wâ) 
 outâânen ; son  respect  (cf.  oot) 
 aneunya ; mât  du  bateau   
 ang  1; vent 
 ang  hwei; vent d'est
 ang  hnyiköiö; vent d'ouest 
 ut-ang  (=  udhang) ; coup de vent,  rafale 
 ang  2 ; a. ici (proche)  b.  tout  de  suite,  à  l'instant  
 inya  ang ; je  suis  ici 
 u  ang ; tu  es  ici 
 e  ang ; il  est  ici 
 hnâm  ju  ang  ! ; reste  ici  !
 aa  thep  he  ang ; il  vient  de  partir à  l'instant
 aang ; suffixe  démonstratif :  -ci  (proche  du  locuteur) 
 at  aang ; cet  homme-ci,  celui-ci  
 bongon  aang ; cette  histoire-ci (cf.  eang) 
 anget ;" coquillage :  ""araignée"",  Lambis  sp. "
 angö; branche 
 anginy ; sa  branche 
 anyâ ; faire  quelque  chose 
 anyâ  balaa ; continuer  à  faire   
 anyin; le  sien  (marque  possessive  la  plus  générale)
 anyik ; le  mien 
 anyâm ; le  tien   
 anyik  hele; mon  couteau 
 anyik  thaan ; mon  chef 
 hele  anyin  thaan ; le  couteau  du  chef 
 hele  anyi  Paulo ; le  couteau  de  Paul 
 anyi  iaa  ? ; à  qui  est-ce  ? 
 ka  anyin ; c'est  à  lui 
 anyin  a ; parce  que 
 ogeme  hluma  anyin  a  uje  kölu ; je  ris  parce  que  tu  es  tombé 
 anyû ; poulpe 
 anyik  anyû ; mon  poulpe  (en  général) 
 ök  anyû ; mon  poulpe  (à  manger) 
 haniik  anyû ; mon  poulpe  (que  j'ai  pêché) 
 aoc ; ramasser  à  poignées 
 auk  ++ ; 
 aoc  jee  oveto; ramasser  les  cailloux 
 auk  oveto ; ramasser des  cailloux  
 are-   ; (=  adre-)
 aree ; (=  adree) 
 aremaa ; (=  adremaa) 
 areme ; (=  adreme) 
 arma ; plante :  Pipturus  incanus  Wedd., Urticacée
 asa ; plante : Ficus  virgata, Moracée  
 asaai ; les  gens  d'Ouvéa
 u  asaai ; tu  es  d'Ouvéa  (cf.  at  et  iaai) 
 asen ; allaiter  (trans.) 
 asin  +  ;
 asen  wanakat ; allaiter  l'enfant 
 asin  ödru ; les  allaiter  tous  deux 
 moomo  ame  ûasin ; femme  qui  aliaite 
 aso ; plante : fougère,  Cyclosorus  in visus  Cop.,  Aspidiacée  
 at ;" homme,  individu,  personne;  préfixe  des  noms  d'agent "
 at aang ; Celui-ci  (proche) 
 at  ee ; celui-là 
 at  elee ; Celui-là  (loin) 
 ke  at ; quelqu'un, un  autre  
 at  mëëk ; homme  de  la  Grande  Terre 
 at  hnathu ; adulte 
 at  hnyaaba ; serviteur 
 at  thoi ; menteur 
 at  thuutr ; pêcheur
 at  venöu ; voleur 
 at wadring; coureur
 aat ; blessé
 at  a  e  aat ; homme  blessé
 ataû ; oiseau : frégate,  Fregata  ariel ariel
 atâ ; couper  (canne  à  sucre) 
 hötöö ++ ;
 atâ  aakû ; couper  la  canne  à  sucre
 hötöö  aakû ; couper  de  la  canne  à  sucre 
 ate- ; indice  personnel  sujet,  1ère  pers.  du  pluriel : nous  (nombreux,  collectif)  (+  marque  temporelle  amalgamée) 
 ateme ; nous  (+  présent) 
 atemaa ; nous  (+  futur) 
 atee ; nous  (+  passé) 
 atee ; nous  (collectif)  +  passé
 atee  han ; nous  avons  mangé  (cf.  ate-) 
 atemaa ; nous  (collectif)  +  futur
 atemaa  han ; nous  mangerons (cf.  ate-)   
 ateme; nous  (collectif)  +  présent
 ateme  han ; nous  mangeons  (cf.  ate-)   
 aten  ; habitant,  occupant,  homme  de
 aten  hnyei ; homme  du  pays  
 aten hu ; équipage  du  bateau  (cf.  at) 
 aatöö; aîné 
 haba  ien  aatöö  me jia Poou; le  nom  de  l'aîné,  c'est  Poou
 atr ; reflet  (dans  l'eau)  (cf.  selatr  et  uselatr) 
 au 1; fil,  ligne  de  pêche 
 hip  au ; nom  d'une  pêche  ä  la  ligne  qui  se  pratique  sur  la  côte  ouest  (côté  lagon  :  Gööny) 
 au 2; pronom  personnel  indépendant,  2ème  pers.  du  sing. : toi,  c'est  toi
 au  umwe  han ;" c'est  toi  qui  manges;  toi,  tu  manges "
 aau ; écorce  de  bourao,  dans  l'expression: 
 huc  aau ; mâcher  des  écorces  de  bourao  (cf.  vëëu) 
 auu  ! ; exclamation 
 auu  malö ! ; hélas !  Quel malheur !
 auk ; (cf.  aoc  ramasser  à  poignées) 
 aû 1; compter,  énumêrer,  lire
 öû + et ++;
 aû taveet ; compter  les  gens 
 aû  ke  tusi ; lire  une  lettre 
 öû öhmun ; nous  compter 
 öû  tusi ; lire  
 aû 2; se  consumer,  s'user,  fondre 
 ame  hlâ  kene  aû  but ; il  brûle  jusqu'à  ce  qu'il  soit  consumé 
 aû 3 ; lever,  hisser  (la  voile)  
 öû ++;
 aû  hûnyû ; hisser  la  voile 
 avâ  [avœ]; couvrir  avec  quelque  chose,  étaler  (ex.  nattes) 
 avöö ou avii  ++;
 avâ  ke  beno ; étaler  une  natte 
 avöö  beno ; étaler  des  nattes 
 avii  beno ; étaler  des  nattes 
 aven ; couverture  de  quelque  chose 
 aven  laulau ; nappe 
 aven  hnyei ; couverture  du  champ  (pour  protéger  les  cultures)  (cf.  avâ) 
 awe !; exclamation 
 awia ; a.  fibres  de  bourre  de  coco  tressées,  cordelette  pour  attacher  la  hache  ostensoir  b.  marque  sacrée  (noeud,  pierre,  etc.) 
 â 1; poisson-lait : Chanos  chanos  et  Megalops  cyprinoides 
 -â 2 ; suffixe  transitif 
 belökâ ; cultiver  quelque  chose  (cf.  belök) 
