; sucre  (cf.  -kû)      
 alai; limpide,  claire  (eau)
 alen  ; pousser  devant  soi  (volailles,  poissons)
 alin ++;
 alen  jee  wââ ; pousser  les  poissons  
 alin köiö ; nom  d'une  pêche  collective  pratiquée  à  marée  descendante  avec un  très  long  filet  végétal  (druba) 
 -alep; dans :     
 waalep ; braise
 vealep ; tas  de  braises
 aletr  ; ramer
 aleû  ; appeler  quelqu'un  par  signes 
 alûû +; 
 aleû  wanakat ; appeler  l'enfant  par  des  signes  
 alûû  örin  ; les  appeler  par  signes 
 ûalû; faire  des  signes  (intr.)  
 alin  ; (cf.  alen  pousser  devant  soi) 
 am ; a.  sciure,  effritement  b.  avoir  des  oeufs  (crustacés) 
 amen ; sa  sciure 
 ut-am (= udham) ; allume-feu 
 amaa ; il,  elle  (+  futur) 
 amaa  han ; il  mangera  (cf.  a- 1) 
 ambaa ; plante : flamboyant,  Serianthes  sp.,  Légumineuse 
 ûambaa ; un pied  de –    
 ame  ; il,  elle  (+  présent) 
 ame  han ; il  mange 
 ame  wâ  meic  ame  hlâ ; il  voit  le  feu  qui  brûle  (cf.  a- 1) 
 ame 2 ; écume sur la mer  (irritante  pour  les  yeux)
 amëë ; plante :  érythrine,  Erythrina sp., Légumineuse
 üamëë; un pied  d' –    
 amëm ; broyé, effrité, en décomposition
 ooamëmâ; broyer,  écraser  (cf. am)
 amëmëm; s'écrabouiller (ex. fruits trop
