;" te,  à  l'instant  "
 inya  ang ; je  suis  ici 
 u  ang ; tu  es  ici 
 e  ang ; il  est  ici 
 hnâm  ju  ang  ! ; reste  ici  !
 aa  thep  he  ang ; il  vient  de  partir à  l'instant
 aang ; suffixe  démonstratif :  -ci  (proche  du  locuteur) 
 at  aang ;" cet  homme-ci,  celui-ci  "
 bongon  aang ; cette  histoire-ci (cf.  eang) 
 anget ;" coquillage :  ""araignée"",  Lambis  sp. "
 angö; branche 
 anginy ; sa  branche 
 anyâ ; faire  quelque  chose 
 anyâ  balaa ; continuer  à  faire   
 anyin; le  sien  (marque  possessive  la  plus  générale)
 anyik ; le  mien 
 anyâm ; le  tien   
 anyik  hele; mon  couteau 
 anyik  thaan ; mon  chef 
 hele  anyin  thaan ; le  couteau  du  chef 
 hele  anyi  Paulo ; le  couteau  de  Paul 
 anyi  iaa  ? ; à  qui  est-ce  ? 
 ka  anyin ; c'est  à  lui 
 anyin  a ; parce  que 
 ogeme  hluma  anyin  a  uje  kölu ; je  ris  parce  que  tu  es  tombé 
 anyû ; poulpe 
 anyik  anyû ; mon  poulpe  (en  général) 
 ök  anyû ; mon  poulpe  (à  manger) 
 haniik  anyû ; mon  poulpe  (que  j'ai  pêché) 
 aoc ; ramasser  à  poignées 
 auk  ++ ; 
 aoc  jee  oveto; ramasser  les  cailloux 
 auk  oveto ; ramasser des  cailloux  
 are-   ; (=  adre-)
 aree ; (=  adree) 
 aremaa ; (=  adremaa) 
 areme ; (=  adreme) 
 arma ;" plante :  Pipturus  incanus  Wedd., Urticacée"
 asa ;" plante : Ficus  virgata, Moracée  "
 asaai ; les  gens  d'Ouvéa
 u  asaai ; tu  es  d'Ouvéa
