; (cf.  at  et  iaai) 
 asen ; allaiter  (trans.) 
 asin  +  ;
 asen  wanakat ; allaiter  l'enfant 
 asin  ödru ; les  allaiter  tous  deux 
 moomo  ame  ûasin ; femme  qui  aliaite 
 aso ; plante : fougère,  Cyclosorus  in visus  Cop.,  Aspidiacée  
 at ;" homme,  individu,  personne;  préfixe  des  noms  d'agent "
 at aang ; Celui-ci  (proche) 
 at  ee ; celui-là 
 at  elee ; Celui-là  (loin) 
 ke  at ; quelqu'un, un  autre  
 at  mëëk ; homme  de  la  Grande  Terre 
 at  hnathu ; adulte 
 at  hnyaaba ; serviteur 
 at  thoi ; menteur 
 at  thuutr ; pêcheur
 at  venöu ; voleur 
 at wadring; coureur
 aat ; blessé
 at  a  e  aat ; homme  blessé
 ataû ; oiseau : frégate,  Fregata  ariel ariel
 atâ ; couper  (canne  à  sucre) 
 hötöö ++ ;
 atâ  aakû ; couper  la  canne  à  sucre
 hötöö  aakû ; couper  de  la  canne  à  sucre 
 ate- ; indice  personnel  sujet,  1ère  pers.  du  pluriel : nous  (nombreux,  collectif)  (+  marque  temporelle  amalgamée) 
 ateme ; nous  (+  présent) 
 atemaa ; nous  (+  futur) 
 atee ; nous  (+  passé) 
 atee ; nous  (collectif)  +  passé
 atee  han ; nous  avons  mangé  (cf.  ate-) 
 atemaa ; nous  (collectif)  +  futur
 atemaa  han ; nous  mangerons (cf.  ate-)   
 ateme; nous  (collectif)  +  présent
 ateme  han ; nous  mangeons  (cf.  ate-)   
 aten  ; habitant,  occupant,  homme  de
 aten  hnyei ; homme  du  pays  
 aten hu ; équipage  du  bateau  (cf.  at) 
