 aatöö; aîné 
 haba  ien  aatöö  me jia Poou; le  nom  de  l'aîné,  c'est  Poou
 atr ; reflet  (dans  l'eau)  (cf.  selatr  et  uselatr) 
 au 1; fil,  ligne  de  pêche 
 hip  au ; nom  d'une  pêche  ä  la  ligne  qui  se  pratique  sur  la  côte  ouest  (côté  lagon  :  Gööny) 
 Au 2; pronom  personnel  indépendant,  2ème  pers.  du  sing. : toi,  c'est  toi
 au  umwe  han ;" c'est  toi  qui  manges;  toi,  tu  manges "
 aau ; écorce  de  bourao,  dans  l'expression: 
 huc  aau ; mâcher  des  écorces  de  bourao  (cf.  vëëu) 
 auu  ! ; exclamation 
 auu  malö ! ; hélas !  Quel malheur !
 auk ; (cf.  aoc  ramasser  à  poignées) 
 aû 1; compter,  énumêrer,  lire
 öû + et ++;
 aû taveet ; compter  les  gens 
 aû  ke  tusi ; lire  une  lettre 
 öû öhmun ; nous  compter 
 öû  tusi ; lire  
 aû 2; se  consumer,  s'user,  fondre 
 ame  hlâ  kene  aû  but ; il  brûle  jusqu'à  ce  qu'il  soit  consumé 
 aû 3 ; lever,  hisser  (la  voile)  
 öû ++;
 aû  hûnyû ; hisser  la  voile 
 avâ  [avœ]; couvrir  avec  quelque  chose,  étaler  (ex.  nattes) 
 avöö ou avii  ++;
 avâ  ke  beno ; étaler  une  natte 
 avöö  beno ; étaler  des  nattes 
 avii  beno ; étaler  des  nattes 
 aven ; couverture  de  quelque  chose 
 aven  laulau ; nappe 
 aven  hnyei ; couverture  du  champ  (pour  protéger  les  cultures)  (cf.  avâ) 
 awe !; exclamation 
 awia ; a.  fibres  de  bourre  de  coco  tressées,  cordelette  pour  attacher  la  hache  ostensoir  b.  marque  sacrée  (noeud,  pierre,  etc.) 
