 âc 1 ; arracher 
 höc  ++  ;
 âc  ke  gögölö ; arracher  une  fibre  sur  la  nervure  centrale  de  la  palme  de  cocotier 
 höc  gögölö ; arracher  des  fibres  sur.. 
 âc 2; creuser 
 hök  ++  ;
 âc  ke  thop ; creuser  un  trou
 hök thop; creuser  des  trous 
 baavëk ; vingt 
 babaji ; déchiré,  en  loques   
 e  babaji  anyâm  ûxaaû ; ta  chemise  est  déchirée 
 babu ; manchot 
 babuen ; bout  de  la  corde,  plumet  (de  la  fronde) 
 babuen  koloû ; plumet  de  fronde 
 baacaan ; son  doigt  de  pied,  son  orteil 
 jee  baacaak ; mes  orteils 
 jee  baacaam ; tes- (cf.  baa-  et  caan) 
 bada ; plante : Strobilopanax  macracarpus,  Araliacée 
 ibada ; un  pied  de  — 
 bademëkan ; a.  sourcils  b.  mot  employé  pour  désigner  les  tas  d'ignames  dans  les  cérémonies  coutumières 
 hon  li  bademëkan ; son  arcade  sourcilière 
