; (cf.  mëkan) 
 badeetr; bouture  de  patate  douce  (cf.  ba-  et  -deetr) 
 badröu ; dans :
 hna  badröu ; foyer  (cf.  dröu)  
 baga  ; de  sexe  mâle,  homme 
 bû  baga; roussette  mâle                     
 xoto  baga ; coq
 obaga ; les  hommes
 bii  baga ; faire  le  malin,  jouer  les  durs
 baginy  ;" oiseau  ""perruche  d'Ouvéa"",  Eunymphicus  cornutus  uveaensis"
 bagot; ver  de  sable  utilisé  comme  amorce 
 bahajien ; mauvaise  odeur
 bahelö ;" oiseau-moine,  ""grive"" : Philemon  diemenensis"
 bahimë ; urine
 tangen bahimë ; vessie  (cf.  ba-  et  himë)
 baaholee ;" oiseau : ""aigle"",  Haliastur  sphenurus,  ou  ""épervier"",  Accipiter  fasciatus  vigilax"
 bahoot ; plante : Delarbrea  collina,  Araliacée
 ibahoot ; pied  de —
 bahläân ; flamme
 tûâ but bahlâân !; souffle  sur  la  flamme  (pour  l'eteindre) !  (cf.  ba-  et  hlâ)
 bai ; maman ! (vocatif)  
 baitr mahai ; récolte des premières  ignames  walei  (Dioscorea  esculenta) 
 adree caa tiga baitre mahai ; on  n'a  pas  encore  récolté  les  premières  walei
 bajebenyin  ; son  aile     
 hmwelen  bajebenyin; son  aisselle  (cf.  benyin)
 baakun ; quinze
 baakun ke nua xaca ; seize  
 baakun ke nua lo; dix-sept
 baakun ke nua kun; dix-huit 
