; graines  comestibles 
 baanu ; bourgeon  terminal,  coeur  du  cocotier 
 baang ; brise,  vent  léger 
 e  baang ; il  y  a  de l'air  (cf.  ba-  et  ang 1)
 baanyen; son  doigt  (de  main)  
 baanyok  ; mon – 
 baanyâm ; ton –
 baanye  xutu ; pouce 
 baanye  hünyäk; annulaire   (cf.  baa-)
 barakönyen  ; son  oreille 
 barakönyen  buaka ; l'oreille  du  cochon 
 bariiny  ; son  front
 bariik ; mon  — 
 bareem ; ton  — 
 basâân ; buée,  vapeur  d'eau  qui  sort  (cf.  ba-  et  sâân) 
 basesönginy ; rayonnement  du  soleil  couchant  ou  levant
 basin ; sein 
 homekan  basin ; mamelon  (cf.  asen,  asin) 
 baat ; caractère 
 bii  baat ; faire  la  tête 
 batâân ; germe 
 bateaeâ ; plante : Geitonoplesium  cymosum  A.  Cunn.,  Liliacée  à  pousses  comestibles  (cf.  ba-,  te- 3  et  aeâ) 
 baaten   ; son côté,  son  bord,  à  côté  de 
 baatök ; mon  côté 
 baatâm ; ton – 
 baaten  uma ; à  côté  de  la  maison
 baaten  waagewe ; rive
 baatetootr ; s'accroupir 
 bateu ; jeune  pousse  d'igname  (cf.  ba-,  te- 3  et  u 2) 
 baathap ; index  (cf.  baa-  et  -thap) 
 batr ;" batte  de  cricket  (anglais  ""bat"") "
 batra ;" beurre  (anglais  ""butter"") "
