 bebong ; pourri  (fruit) ;
 bec ; éviter,  parer  un  coup  avec un bouclier  ;
 beec ; lent ;
 bedrila ; a.  plante : Hibiseus  rosa-si-nensis  L.,  Malvacée  b.  clone  d'igname  (Dioscorea  alata) ;
 obedrila ; fleur  d'Hibiscus ;
 begö; poisson : petites  carangues  (nom  général),  Caranx  sp. ;
 waketr  begö; petite  carangue  sp.  (cf.  vinee);
 begun ; plante : Graptophyllum  pictum  (L.)  Griff.  (cultivé),  Acanthacée  ;
 ibegun; un  pied  de  — ;
 behelök ; lézard ;
 bekiihnäânem (=  mekiihnäänem) ; être  affamé  ;
 bekoûnykum  (=  mekoünykum) ; avoir  faim  de  viande  ou  de  poisson ;
 bekut ; poisson  Polydactylus  plebeius; cultiver,  faire  des  cultures 
 belai ; coquillages  roulés,  utilisés  comme  gravier ;
 obelai; un  coquillage;
 belen ; sa  boisson ;
 belik; ma  — ;
 belâm ; ta —  ;
 belik ; koio  mon  eau  (à  boire) ;
 belen  koio; son  —;
 ha  belen ; donner  à  boire  à  quelqu'un ;
 belet;" ceinture  (anglais  belt"")";
 belök; cultiver, faire des cultures;
 belökâ ; cultiver  quelque  chose  ;
 belökii  ++; ;
 hna  belök ; champ  cultivé ;
 ûen belök ; époque  des  cultures     ;
 beeni naai ; clone  de  bananier ;
 beno ; natte  en  feuille  de  cocotier ;
 iiny  beno ; sa  natte  ;
 beny ; parer  un  coup  avec  la  main ;
 benyin ; sa main, son bras;
 benyik ; ma main ;
 benyâm ; ta — ;
