 beée ; construire un  mur
 beek ; sac " (anglais  ""bag'') "
 bek ; a.  plante : banian,  Ficus  prolixa  Forst.  f.,  Moracée  b.  ancienne  richesse  traditionnelle:  écheveau  de  corde  en  racine  de  banian  c.  case  rectangulaire 
 beke ;" bâton—tabac  (anglais  "tobacco") "
 beleiketr ;"couverture  (angl.  "blanket")  
 iiny  beleiketr ; "sa  couverture"  
 beng ; oiseau : râle,  Rallus  philippen-  sis  swuindellsi 
 bi ; particule  marquant  l'insistance,  le  réfléchi,  la  simultanéité,  la  restriction 
 e  bi ; lui-même 
 u  bi ; toi-même  c'est  moi-même 
 ka  inya  bi  ke  soo  bi ; locution : mais  seulement,  mais  pourtant 
 ame  oo  bi  ke  hu  ke  ka  hnehne  hmetu  bi  ke  at ; dès  qu'un  bateau  arrive, un  autre  repart 
 wä  bi ! ; regarde-le  bien,  fais-y  attention ! 
 bii 1;  faire  (+  complément  obligatoire) 
 bii  caan ; causer 
 bii  haten ; marquer 
 bii  huut ; faire  un  sacrifice,  une  offrande 
 bii  hlu ; servir,  faire  la  jeune  fille 
 bii  hwaaban ; payer 
 bii  jeeû ;  préparer  les  vivres  pour  les  coutumes 
 bii  komok ; soigner 
 bii  sahaac ; préparer  les  ingrédients  pour  faire  la  marmite 
 bii  toon ; répliquer,  avoir  le  dernier  mot 
 bii  too ;" faire  de  la  corde  
 bii 2;  abeille  (anglais  "bee")
 biâ ; danse,  danser 
 bibiâ ; pilou 
 biä  laba ; danse  assise 
 obiä ; libellule 
 hna  biâ ; place  de  danse 
 bibii;  dans : 
 bibii  baga ; faire  le  malin
 bibiken;  son  nombril 
