 bibikok ; mon  nombril 
 bibikäm ; ton —
 tooiny bibiken ; son  cordon  ombilical 
 bicaawatr ; serpent  de  mer,  rayé  noir  et  blanc 
 bicâ ; mettre  quelque  chose sur  sa  tête,  coiffer  quelque  chose 
 bicä  hnabûübek ; mettre  un  chapeau 
 bicen ; sa  coiffure 
 bicok  basei ; ma  fleur (piqué dans  les  cheveux) 
 bicâm  basei ; ta —  
 bicen  basei ; sa -  (cf.  bicâ) 
 biifuucâ ; accuser  quelqu'un 
 biifuucii  +; (cf.  bii 1  et  fuuc)
 biigaan ; orgueilleux  (c£.  bii 1  et  gaan) 
 bigâ ; lancer  (pierres) 
 bigöö ++ 
 bigâ  iveto ; lancer une  pierre  (cf.  bök)  
 biget; ver  de  terre  
 tebiget ; nerf  
 biju;  seul,  de  reste 
 e  biju;  il  reste  seul 
 tavëët  a  ödra  biju  Hulup ; les  gens  qui  sont  restés  à  Hulup 
 umwaa  han  biju  tu ; resteras  à  manger  tout  seul 
 bong  biju  elee ; le  jour  d'après  
 biliny ; derrière,  après 
 bilik ; je  suis  derrière 
 bilâm ; tu  es  derrière 
 bili  Paulo ; Paul  est  derrière 
 umwaa  biläm  ka  mok  ke  bwöök ; tu  mourras  le  dernier,  et  moi  le  premier 
 a  biliny ; après  
 jee  bong  a ; biliny  les  jours  à  venir 
 biny ; oiseau : "pigeon  vert  des  Îles", Ptilinopus  greyi
 binywä ; plante : Macaranga  vedeliana  Müll  .-Arg.,  Euphorbiacée 
 biitr ;" gagner  (anglais  "beat") "
 aree  biitr  ut ; ils  ont  gagné 
 bo- 1 ; préfixe :
