 boeet ; épuisette 
 bohüûnyoon ; son  aileron  (requin) 
 bokomok ; crâne  (sec)  
 boûjimen ; son  ongle  
 bo 2 ; sentir,  avoir  une  odeur,  dans  Les  expressions  suivantes :  
 e  bo  kong ; ça  pue 
 e  bo  soo ; ça  sent  bon 
 bo  hâtâân ; sentir  le  cru  (sang,  viande  ou  poisson  cru)  (cf.  bon) 
 boo ; rêver  de  quelque  chose 
 bwii + 
 ieû uje boo ? ; de  quoi  as-tu  rêvé  ? 
 ogee  boo  ke  menâ ; j'ai  rèvé  d'un  oiseau 
 ogee  bwii  u ; j'ai  rêvé  de  toi  (cf.  bwi 1) 
 boobo ; a.  bonbon  b.  plante : Grewia  crenata  Schinz  et  Guillaum.,  Tiliacée  
 bobohlai ; plante : fougère,  Phymatodes  scolopendria  (Burm.)  Ching,  Polypo-  diacée 
 bobotr ; sec  (bois)  
 anginy  a  e  bobotr ; branche  sèche 
 boeet ; épuisette  (cf.  bo-1  et  eet)  
 bohon ; poisson : petites  loches,  Epinephelus  merra,  E.  tauvina  
 bohûnyoon ; son  aileron  (requin)  (cf.  bo-1  et  hûnyû)  
 bohmen ; sa  langue  (organe)  
 bohmok ; ma —   
 bohmâm [bomoem] ; ta — 
 boio ; nautile 
 bokomok ;" crâne  (sec)  (cf.  bo-1  et  komok)  
 bool ; balle  de  cricket  (anglais  "ball")  
 bolok ; bétail  (anglais  "bullock")  
 bomene ; île,  îlot  
 bon ; sentir,  avoir  une  odeur  
 e  bon ;  ça  sent  
 bonu ; vieux  cocotier  
 ibonu ; un  vieux  pied  de  cocotier 
