 bong ; jour  
 bong ang ; aujourd'hui
 bong  nyi ; demain  
 bong  biju  elee ; jour  suivant  
 bong  ejii ; jour  précédent   
 bong  eetr  ejii ; avant-hier 
 bongon 1 ; histoire,  manière,  façon,  sorte  
 bongon  kong  Hulup ; histoire  du  dieu  Hulup  
 lo  bongon  wacing ; deux  sortes  de  fruits  de  palétuvier  
 bongon  hna  belökâ  u  eang  iaai ;  manièrere  de  cultiver  l'igname  autrefois  à  Ouvéa  
 bongu  Paulo ; histoire  de  Paul  
 bongon 2 ; s'arrêter  à  un  certain  niveau  
 ogeme  bonguk  cu  ee ; je  l'arrête  là  
 köiö ame  bongon  hnyi  nyiin ; l'eau  lui  arrive  au  cou  
 boosu ; bonjour  (français  "bonjour")  
 iboosu ; se  dire  bonjour,  salutation  
 botr ; moche  (vêtement) 
 e  botr ûxaaâ ; le  vêtement  est  moche  
 bootroo ; peindre,  enduire,  badigeonner  
 bootruu +  et  ++  (cf.  bootru) ; 
 bootru ; se  badigeonner,  se  barbouiller  
 bootru  ge  ogum ; se  badigeonner  de  noir  (extrait  de  la  noix  de  bancoul)  
 obootru ; teinture  
 obootru  dra ; teinture  rouge 
 obootru  hlitr ; teinture  noire 
 booucaan ; son  genou  
 ciboouca ; s'agenouiller  (cf.  ca 2) 
 boulenu ; jeune  palme  de  cocotier  (encore  blanche)  
 boun ; massue 
 boûdeetr ; tourbillon  d'eau 
 boûdrila ; drapeau  
 boûjimen ; son  ongle  (cf.  bo-1  et  ûjimen)  
 boviiny ; bourgeon  terminal  
 boviiny  nu ; flëche  du  cocotier  
 boviiny  ûkû ; bourgeon  terminal  de  canne  à  sucre 
