 boxulu ; articulation 
 boxulu  benyin ; son  coude 
 boxulu  caan ; son  genou 
 bök ; lancer  des  pierres  (intr.) 
 ibök  köu ; se  lancer  des  pierres  (cf.  bigâ)  
 -bu ; suffixe  possessif  2ème  pers.  du  duel : votre  (à  vous  deux)  
 caabu ; votre  pied  (à  vous  deux)  
 anyibu ; le  vôtre  (à  vous  deux) 
 buaka ; cochon  
 buaka  hiny ; cochon  sauvage  
 buakainy  köiö ; vache  marine 
 buat ; clone  d'igname  (Dioscorea  alata) 
 buat  beû ; autre  clone  de  —  
 buba ; grand-pêre!  grand-mêre!  (vocatif)  
 bubulu ; bulle 
 bubulu  köiö ; ampoule  
 bubuny ; médicament  
 bii  bubunyin ; lui  préparer  un  médicament 
 bubuny  menyik ; plante  Peperomia  sp.,  Pipéracée  
 bucen ; montagne 
 buula ; a.  punaise  b.  plante  (Rutacée  ou  Araliacée  ?) 
 obuula ; une  punaise 
 bulenu ; creux  à  la  base  des  cocotiers  pour  recueillir  l'eau  de  pluie 
 bulu ; pénis 
 buloon ; son- 
 ut-bulu ! ; espêce  de... ! (insulte) 
 
 bwebweetr ; bouger,  remuer,  s'agiter 
 bwec ; chasser,  écarter  (volaille,  insecte) 
 bwic  ++ ; 
 bwec  ke  ominâ ; écarter  un  moustique 
 bwic  minâ ; chasser  les  moustiques 
 bwedua ; cap, pointe 
