 buum ; nom  d'un  jeu  avec  des  morceaux  de  bois  
 -bun ; suffixe  possessif  2ême  pers.  du  pluriel : à  vous,  votre 
 caabun ; votre  pied  
 anyibun ; le  vôtre   
 bunen ; son  odeur 
 bunen  basei ; l'odeur  de  la  fleur  
 bunyâ ; bounia  
 bunyen ; groupe
 burum ; balai,  balayer  (anglais  "broom")  
 but ; particule  postverbale  marquant  l'éloignement,  la  séparation,  le  révolu..  à  l'impératif,  marque  l'ordre  fort
 ame  huliwa  but ; il  est  déjà au travail 
 e  bë  but ; il  n'y  en  a  plus  
 walee  but  ee ... ; voilà  (révolu)... 
 he  but ! ; va-t'en !  
 hom  but ! ; prends-le !  
 gâ  but ! ; saute ! avec  certains  verbes,  marque  l'inversif : 
 ölö ; monter  
 ölö  but ; descendre (cf.  les  variantes  dut,  drut,  jut,  gut  et  ut) 
 butr ; vert,  pas  mûr 
 buutr ; chaussure  (anglais  "boot")
 bû ; a.  roussette,  Pteropus  sp.  b. poisson : Platax  pinnatus 
 bû  baga ; roussette  mâle 
 bû  moomo ; roussette  femelle 
 obû ; les  roussettes 
 
 bweejing ; plante : Ochrosia  elliptica  Labill.,  Apocynacée  
 bwela ; ouvrir  les  yeux 
 bweLe ; regarder,  scruter  (intr.) 
 bwele  baaû ; détourner  les  yeux 
 e  bwele  ju  jiio ; il se  met  à  regarder  vers  le  lagon
