 bwiny ; paquet 
 bwiny  cing ; gâteau  de  fruits  de  palétuvier 
 bwiny  hâû ; nid  
 bwiny  kânâ ; dynamite  
 bwiny  maano ; coupon  d'étoffe  (non  coupée) 
 bwiny  uoû ; pleine  marée  haute 
 bwiny  wââ ; paquets  de  poissons 
 hna  bwiny  bëk  =  hnabübëk ; chapeau 
 bwöö ; feuillage 
 xuc  bwöö ; crachoter  des  feuilles  médicinales 
 lebwöö ;  feuille 
 bwööâ  hnyei ; recouvrir  le  champ  de  feuillage  pour  protéger  les  cultures 
 bwöbwölo ; desséché,  sec  (bois) 
 bwöhngöc ; poisson : nom  général  des  petites  murênes  (morsure  três  dangereuse),  Gyrmothorax  sp. 
 bwöömita ; plante : Pavetta  opulina  (Forst.)  DC.,  Rubiacée  
 
 ; est  dure  !
 caloop ; plante : Dysoxylum  nitidum,  Méliacée 
 camwemwec ; épines  de  walei (Dioscorea  esculenta) 
 caan ; son  pied,  sa  jambe,  son  origine,  sa  cause 
 caak ; mon  pied 
 caam ; ton  — 
 caa  Paulo ; le  pied  de  Paul 
 bii  caan ; causer  quelque  chose 
 ieû  caan ? ; pour  quelle  raison  ?  pourquoi  ? 
 ieû  caan  ame  kuku  gaan  wanakat ; pourquoi  l'enfant  crie-t-il  ? 
 caan  a ; parce  que 
 caan  a  adreme  kot ; parce  qu'on  le  bat  (cf.  ca 2) 
 caan  a ; parce  que  (cf.  caan) 
