 39 ; pholis  argus 
 ou ; Plectropomus  Leopar-  dus 
 obedea ; loche  saumonée  (quand  elle  est  petite) 
 debai ; lait  maternel  (cf.  de-“  et  bai) 
 debuden ; clone  d'igname  Dioscorea  gla-  bra  Roxb.  degec  jeter,  enlever  digic  ++ 
 | ; degec 
 ut ; jette-le 
 ! ; degec 
 ke ; Unyi  jeter  quelque  chose  digic  thaatûnyi  jeter  des  saletés  digic  tiiren  jeter  des  saletés,  net-  toyer 
 dehi ; plante  Rapanea  Lecardii  Mez,  Myrsinacée 
 dei ; se  chauffer,  se  sécher 
 au ; soleil  (cf.  daai) 
 deio ; directionnel 
 : ; vers  la  falaise,  vers  Cou,  vers  l'est  (en  montant)  ..  os»r 
 dekoio ; larmes  ... 
 wadekoio ; une  larme  (c£.  de-“  et  koio) 
 delâ ; a.  tailler,  épointer  b.  maigre,  effilé 
 ame  delä  wiaa ; il  le  taille  proprement 
 ûdeläiny  kuli ; la  maigreur  du  chien 
 delûâ ; [delQæ]  porter  dans  les  bras,  contre  soi 
 delüoo  + ; et 
 ++  deldüä  wanakat ; porter  l'enfant 
 delüoo  nya ; me  porter 
 den ; ligne,  rang 
 den  mokutr ; brin  sur  toute  la  longueur  de  la  natte 
 den  uma ; rang  de  paille  (toit) 
 deeny ; sa  route,  son  sentier 
 deeny  buaka ; le  sentier  des  ‘cochons  w. 
 deeny  koio ; la  canalisation  d'eau 
 deek  gedhen  ma ; route 
 deem  gedhen ; ta  — 
 deeny  gedhen ; sa 
 —  gedhen  deeny  thaan ; 1la  route  du  chef 
 gedhen  dee ; Paulo  la  route  de  Paul 
