français#@#apparence, aspect, photo#@#False#@#835#@#118#@#570#@#39;pije#@#hanu, hanuu-n (T)#@#False#@#832#@#886#@#393#@#37;fwâi#@#hanu: hanuu-n#@#False#@#833#@#1407#@#304#@#34;nemi 1 (Temala)#@#hanu, henuu-n#@#False#@#832#@#1928#@#307#@#34;nemi 2 (côte est)#@#hanu: hanuu-n#@#False#@#834#@#2453#@#307#@#33;jawe#@#hanu: hanuu-n#@#False#@#832#@#2978#@#309#@#34;64
français#@#son corps#@#False#@#916#@#119#@#207#@#30;pije#@#cethä-n#@#False#@#904#@#884#@#163#@#34;fwâi#@#cerhè-n#@#False#@#904#@#1406#@#162#@#34;nemi 1 (Temala)#@#cetne-n#@#False#@#907#@#1928#@#163#@#29;nemi 2 (côte est)#@#cene-n/ kanye-n#@#False#@#904#@#2453#@#355#@#40;jawe#@#hne-n/ kanye-n#@#False#@#903#@#2978#@#332#@#41;64
français#@#sa chair#@#False#@#978#@#118#@#184#@#32;nemi 2 (côte est)#@#pixe-n#@#False#@#976#@#2453#@#138#@#41;jawe#@#pixe-n#@#False#@#975#@#2977#@#140#@#42;64
français#@#sa viande, viande de-#@#False#@#1050#@#118#@#496#@#62;pije#@#hmovi-n,. hmove(T)#@#False#@#1049#@#883#@#441#@#34;fwâi#@#hmavi-n, hmave-#@#False#@#1049#@#1404#@#352#@#33;nemi 1 (Temala)#@#hmavi-n: hmave-#@#False#@#1049#@#1927#@#353#@#33;nemi 2 (côte est)#@#hmai-n, hmave-#@#False#@#1050#@#2451#@#330#@#33;jawe#@#hmai-n, hmave-#@#False#@#1050#@#2975#@#332#@#33;64
français#@#sa peau#@#False#@#1135#@#117#@#160#@#29;pije#@#cii-n#@#False#@#1122#@#883#@#114#@#35;fwâi#@#cii-n#@#False#@#1122#@#1403#@#115#@#33;nemi 1 (Temala)#@#cii-n#@#False#@#1122#@#1927#@#114#@#33;nemi 2 (côte est)#@#cii-n#@#False#@#1122#@#2451#@#116#@#35;jawe#@#cii-n#@#False#@#1122#@#2975#@#116#@#35;64
français#@#droite, sa main droite#@#False#@#1194#@#111#@#526#@#39;pije#@#duhi, duhi-n#@#False#@#1194#@#878#@#284#@#33;fwâi#@#duhi, duhi-n#@#False#@#1193#@#1400#@#284#@#33;nemi 1 (Temala)#@#due-hi-n#@#False#@#1193#@#1921#@#190#@#33;nemi 2 (côte est)#@#duhi, duhi-n#@#False#@#1193#@#2447#@#285#@#33;jawe#@#jue-hi-n#@#False#@#1194#@#2978#@#185#@#39;64
français#@#gauche, son côté gauche#@#False#@#1267#@#114#@#546#@#39;pije#@#mO+ moo-n#@#False#@#1276#@#878#@#212#@#23;fwâi#@#mor moo-n#@#False#@#1275#@#1400#@#212#@#24;nemi 1 (Temala)#@#mo: moo-n#@#False#@#1273#@#1923#@#213#@#25;nemi 2 (côte est)#@#mor moo-n#@#False#@#1275#@#2447#@#213#@#23;jawe#@#mor moo-n#@#False#@#1275#@#2973#@#211#@#23;64
français#@#os, son os#@#False#@#1350#@#112#@#232#@#28;pije#@#dus duu-n#@#False#@#1339#@#877#@#212#@#32;fwâi#@#du, duu-n#@#False#@#1338#@#1398#@#212#@#33;nemi 1 (Temala)#@#du, duu-n#@#False#@#1338#@#1921#@#213#@#32;nemi 2 (côte est)#@#du, duu-n#@#False#@#1338#@#2445#@#214#@#33;jawe#@#du, duu-n#@#False#@#1339#@#2968#@#215#@#32;64
français#@#sang, son sang#@#False#@#1422#@#112#@#329#@#29;pije#@#kuta, kutaa-n#@#False#@#1410#@#878#@#306#@#33;fwâi#@#kura:s kuraa-n#@#False#@#1409#@#1401#@#304#@#33;nemi 1 (Temala)#@#kuta:s kutaa-n#@#False#@#1409#@#1924#@#306#@#31;nemi 2 (côte est)#@#kura: kuraa-n#@#False#@#1410#@#2447#@#307#@#32;jawe#@#kuras kuraa-n#@#False#@#1410#@#2973#@#305#@#32;64
français#@#veine (= corde)#@#False#@#1482#@#108#@#352#@#38;pije#@#wôk#@#False#@#1482#@#876#@#67#@#33;fwâi#@#wâk#@#False#@#1481#@#1398#@#67#@#33;nemi 1 (Temala)#@#wäk#@#False#@#1481#@#1920#@#68#@#31;nemi 2 (côte est)#@#wäk#@#False#@#1482#@#2444#@#68#@#33;jawe#@#wêk#@#False#@#1482#@#2970#@#66#@#32;64
