a-l;préfixe des noms d'agent : celui qui;62
abuya;courageux, entreprenant;62
acaang;voleur;62
ahobwac;gardien;62
akuar;désobéissant;62
aphilu;danseur;62
atela;luette (lit. celle qui demande);62
atup;plongeur;62
aavâlâng;sorcier (voir ac);62
a-2;préfixe des couples de parents (exprime une relation duelle);62
abeegan;les deux cousins croisés;62
anaen;le père (ou la mère) et son;62
enfant;;62
aolan;l'oncle maternel et le neveu;62
avaabon;Ja grand-mère (ou le grand-père) et sa petite-fille (ou son petit-fils);62
a-$;marque d'agent personnel du verbe transitif (+ suffixe possessif ou pronom interrogatif);62
no pha a-ng no;Jje l'ai pris;62
yo pha a-m yo;tu l'as pris;62
ta pha a-n er;il l'a pris;62
ta âê-r a-ri ?;qui l'a battu ?;62
ta hari a-ri chaa-m me yo ina;;62
tina ?;qui t'a dit de faire cela ?;62
aorar neen wa-kiyi er a-m yo ?;combien de fois l'as-tu vu ?;62
aorar hoxo wa-kiyi er a-ng no;je l'ai vu plusieurs fois (voir an?);62
af;marque d'instrumental (après consonne, cette particule a tendance à développer une consonne initiale homorganique de la consonne qui précède);62
ta thabwan tina pu-yeek (x)a tina;;62
toxi;il a coupé l'arbre avec la hache;62
ta pwaxa ye-n (n)a chaavô;il s'est lavé les mains avec du savon;62
yo pwaxa ye-m (m)a chaavô;tu t'es lavé les mains avec du savon;62
no maac (y)a chaam;je suis morte de froid;62
-a;voyelle de liaison dans la chaîne;62
parlée;;62
ta phaliiya Cudit;Judith est malade (voir phaliic);62
ta phuya bwak Roussette;s'envole (voir phuc);62
buleva Kkha-ng je;me suis foulé le pied (voir bulep);62
cura jao;l'année est finie (voir cun);62
mhwexa ye-n;:il a le bras estropié (voir hmwek);62
â-;préfixe marquant l'état;62
ä-khaor;long;62
â-nheer;gros;62
ä-phwayar;étendu, allongé;62
äâ-;a. bouture, plant (cultivé);62
ââ-ng;ma bouture;62
Aâ-m;. ta bouture;62
44-1â Thaïmi aju;les plants de ces personnes b. terme générique utilisé pour marquer la possession des plantes cultivées;62
ââ-ng uvi;mon igname (plantée ou à planter);62
Aâ-ng laakau;mon papayer;62
aba;dormir avec (qqch. ou qqn), (probablement contraction de an couché + -va suffixe transitif);62
aba er;dormir avec lui;62
abe;les deux beaux-frères;62
lheimi abe;les deux beaux-frères (voir a-2 et bee-);62
abeegan;les deux cousins croisés;62
The abeegan;ils sont tous deux cousins (voir a-2 et beega-);62
abii-r;a. d'autres (choses), encore d'autres;63
thuya abii-r;il y en a d'autres, il y en à EnCOrÉ;63
abii no;d'autres poissons;63
ba tali abii huu;il y a encore d'autres nourritures b. (+ animé) compagnon;63
abüi-m;ton compagnon;63
abor;feu mourant;63
abuya;courageux (pour faire qqch.), entreprenant (voir a-l et buya);63
abwa-r;a. moitié, morceau de qqch.;63
abwa nu;demi-coque de coco b. classificateur numéral des morceaux;63
abwaneen ?;combien (de morceaux) ?;63
abwaneen nu ?;combien y a-t-il de morceaux de coco ?;63
abwalâic;un morceau ces deux-ci (proches;63
abwaru;deux morceaux etc;63
aabwar;filiation du côté maternel;63
ac!;homme, mâle;63
âlô ac;garçon;63
ho ac;coq;63
ac?;préfixe des pronoms démonstratifs masculins duels et pluriels duel :;63
ac maleija;du locuteur);63
ac maleëlâ;ces deux-là (visibles);63
ac maleili;ces deux-là (non visibles, mais qu'on entend);63
ac maleimi;ces deux-là (dont on a parlé, anaphorique);63
ac maleiyôk;ces deux-là (de l'autre côté);63
ac maleiyôda;ces deux-là (là-haut);63
ac maleiyüdu;deux-là (en bas) pluriel : = ac maleimidu ces;63
ac malaiïja;ceux-là (proches du locuteur);63
ac malaelâ;ceux-là (visibles);63
ac malaili;ceux-là (non visibles, mais qu'on entend);63
ac malaimi;ceux-là (dont on a parlé, anaphorique);63
ac malaiyôk;ceux-là (de l'autre côté);63
ac malaiyôda;ceux-là (là-haut);63
ac malaïyôdu;= ac malaïmidu ceux-là (en bas);63
ac;préfixe nominalisant : celui qui, ce qui;63
ac naamo;délicieux;63
ac teuver;qui fait l'intéressant;63
ac thu pwaalu;respectueux;63
ac thu hâc;orgueilleux;63
ac vaa;bavard - exemple :;63
Ihaël aju Iha ju ac thu pwaalu;ces gens-là sont vraiment des gens respectueux devant le verbe transitif, marque une emphase sur l'agent :;63
ta ina a-ri hî dep ?;qui a fait cette natte ?;63
no ji ac ina-ng no;c'est moi-même qui l'ai faite Comparer a. et b. : a. ta chabeen an caayo timi;63
mwa-ng;papa a construit ma maison b. ta ac chabeen an caayo timi;63
mwa-ng;c'est papa lui-même qui a construit ma maison (voir a-Î et â-);63
aac;pronom personnel 2P1 (objet et suffixe possessif) : vous, votre;63
ta alo li aac;il vous regarde;63
ye-aac;votre main (voir haac);63
aciwe;éternuer;63
ac mo;habiter, résider;64
no ac mo Balaar;j'habite à Balade;64
lha ac mo Balaar;ils habitent à Balade (voir ac3 et mo);64
ada;tout seul (postverbe);64
no mo ada;je reste tout seul;64
adalic;impossible;64
adalic na lier;il ne peut pas, cela lui est impossible;64
adalic na li no me no ina tina;il m'est impossible de le faire;64
adalic me no phee;c'est impossible que je vienne;64
adap;calme, paisible;64
ada-r;partie, moitié, pan, planche;64
ada-eek;planche classificateur numéral des pans, des planches;64
adaneen;combien de pans, de planches ?;64
aduleeng;dormir;64
aê, âêny;frapper, taper, tuer;64
pe-âê;se battre, se bagarrer;64
ta âê no;:1l me tape;64
ta âé-r;il le tape (contraction de äê + er);64
ta âêny tina koau;il tape le chien;64
âêlan;coquillage : turbo, Turbo petholatus, Turbinidé;64
âêny;frapper, taper, tuer (+ nom commun) (voir 4ê);64
âê-r;bile, fiel;64
âê no;fiel de poisson;64
ail;conjonction : ou, ou bien;64
uvi ai kowe;igname ou bien taro;64
ai-2;préfixe des pronoms démonstra- tifs masculins singuliers (< ac?);64
aija;celui-ci (proche du locuteur);64
ayêlâ;celui-là (visible);64
ayili;celui-là (non visible, mais qu'on entend);64
ayimi;celui-là (dont on a parlé anaphorique);64
aiyôk;celui-là (de l'autre côté);64
aiyôda;celui-là (là-haut);64
aiyôdu;= aimidu celui-là (en bas);64
ajaru;avoir la flemme;64
aju;homme, être humain, personne;64
alaba;braise;64
à4à-l4 chawi;clone de canne à sucre (litt. bouture de famine) (voir 44-);64
4-14 daan;messager (lift. bouture de la route) (voir 4â-);64
älâp;couché (voir an);64
Aâlaap;coquillage Atrina vexillum, Pinnidé;64
ala-r;a. sous, dessous, surface interne (de qqch.);64
ala-;sous lui, en dessous de lui (en parlant de qqn);64
ala uru;sous le vent, dans le sens du vent b. vide, contenant (vide);64
hon ala-r;c'est vide (voir ara-) :;64
alaar;poisson picot rayé, Siganus lineatus;64
alawan;clone d'igname (Dioscorea alata);64
aleleang;petite cigale verte;64
alo;regarder;64
alo-da;regarder en haut;64
alo-du;regarder en bas;64
ta alolier;il le regarde;64
ta alo tina yeek;jambonneau il regarde l'arbre;64
A6!;enfant;65
âlô ac;petit garçon;65
âlô raamwa;petite fille;65
thu Al6;faire le bébé;65
âlô?;tante paternelle, tantine;65
4160-ng;ma tante paternelle;65
à166-n;sa tante paternelle;65
Al6âny;persécution, souffrance;65
thu âl6âny na li no;me persécuter;65
âlôma;exclamation pour interpeller plusieurs personnes;65
aluluva;(arch.) très léger (comme une plume, une feuille);65
âlûr;coquillage clovisse, Donax Sp., Donacidé;65
aluvivi;oiseau : petit oiseau non identifié;65
ama-;intérieur de la bouche, palais;65
ama-m;ton palais;65
ama-ja;notre palais;65
amaemap;crabe de terre;65
ââmani;ambassadeur, émissaire;65
amaawan;les deux époux, le couple;65
amerik;cione de bananier;65
amoon;le beau-père et son gendre;65
amoon daamwa;la belle-mère et sa belle-fille (voir a-2 et moo-);65
Aâmuu;abeille;65
oga ââmuu;miel;65
an!;plante : sorte de jonc, Cladium articulatum KR. Br., Cypéracée;65
an?;marque d'agent du verbe transitif (+ nom propre, pronom personnel 3Sg et démonstratifs personnels);65
ti hada-yeek ta pwan an Alik;AK a cassé la branche;65
ta pha an mwaiyôk timi do;pris la sagaie, celle-là elle a;65
to-n hiwiin an mwaëêlâ tina doo;elle a récuré la marmite, celle-là;65
kam ra hari an mwaimi hulac;alors l’aînée dit... (texte 3, phrase 7);65
Cette;marque peut aussi introduire le sujet "personnel" d'un prédicat locatif :;65
yer ka an Coceep;Joseph est ici;65
ani;couché (forme abrégée de âlâp dans les composés);65
an baeep;couché en travers;65
an duu-n;couché en tournant le dos;65
an kalada;couché sur le dos;65
an maac;dormir à fond;65
an phoop;couché à plat ventre;65
an thiimu;couché accoudé;65
an thala-n;couché sur le côté;65
an thabwan;couché en travers;65
anaen;le père (ou la mère) et son enfant (voir a-2 et nae-);65
anaaya;il y a une grande quantité de, il y a beaucoup de;65
wam nan wWeexaac anaayÿa no;dans la mer, il y a beaucoup de poissons;65
ane;:l y a trop de (choses non dénombrables);65
ane uru;:l y a trop de vent;65
ane gulêr;il y a trop de bruit;65
ane we;il y a trop d'eau;65
aneneem;immobile;65
anigo;plante : /ndigofera suffruticosa Mill, Papilionacée;65
anooyu;possible;65
anooyu me hava temwa bweer;nous pouvons marcher dessus;65
440;AAA chef;65
ao-;préfixe marquant la fréquence;65
aogaar;tous les jours;66
aojelà;souvent;66
aomwalôk;tous les mois (voir aorar);66
aogaar;tous les jours, toujours;66
no tu bwe mar aogaar;je vais tous les jours à la pêche;66
jihâ ora aogaar;:1l pleut vraiment tous les jours (voir ao- et gaar);66
aojelà;souvent;66
no tu bwe mar aojelâ;je vais souvent à la pêche (voir ao- et jelâ);66
aolan;l'oncle et le neveu (voir a-2 et hola-);66
aolang;plante : arrowroot (tubercule comestible), Tacca sp., Taccacée;66
aor;grosse vague, gros rouleau;66
aorar;nombre de fois (classificateur numéral);66
aorar neen ?;combien de fois ?;66
aorâlâic;une fois;66
aoraru;deux fois;66
aorar cen;trois fois;66
aorar vaac;quatre fois;66
aorar hoxo;plusieurs fois (voir a0- );66
ap;rire;66
pur da me yo ap ?;pourquoi ris-tu ?;66
awi, awiin;rire de (transitif);66
no awi la;Je ris d'eux;66
no awiin tina âl6;je ris de l'enfant;66
ta pha-awi no;:1l me fait rire;66
ap co;ver de bancoul;66
ar;soleil;66
ma-ar;coup de soleil;66
nyelé ar;heure;66
hareen;étaler au soleil (pour faire sécher);66
ara-;a. face, devant, surface interne, dessous de qqch. (forme de ala-r en composition);66
arae-k;paume de la main;66
arama;face, visage;66
araxa-k;plante du pied;66
ara avôlô;devant de la maison, cour de l'habitation;66
ara taap;dessous de la table b. contenant vide, carapace, coquille de qqch.;66
ara bwa;crâne (sec);66
ara cixaar;paquet de cigarettes (vide);66
ara doo;marmite vide;66
ara nu;coque de noix de coco;66
aravaleec;rotule;66
ara waage;carapace de crabe;66
ara Wan;carapace de tortue;66
ara bwa;crâne (sec) (voir ara- et bwaa-!);66
arae-k;paume de la main;66
arae-m;ta paume (voir ara- et ye-k);66
araja;coquillage (nom général);66
araju;coquille de bivalve utilisée pour râper le coco (voir ara- et ju?);66
arak;chaussure;66
araxa-ng bul;mes chaussures de foot;66
aralap;guêpe maçonne;66
arama;face, visage;66
aramaa-m;ton visage (voir ara-);66
aarau;poisson : requin-dormeur;66
aravaleec;rotule (lift. coquille de lucine) (voir ara- et phaleec);66
araxa-k;plante du pied (voir ara- et kha-k);66
a-ri;qui (agent) ? par qui ?;67
ta âê-r a-ri;qui l'a battu ?;67
ta ina a-ri;qui l'a fait ? (voir a-3 et til);67
aaro;a. plante : herbacée à petites graines blanches, Coïx lachryma- jobi L., Graminée b. nom d'une monnaie traditionnelle;67
aroo-;époux;67
aroo-n;son époux;67
haroon;épouser, se marier (femme);67
arok;plante : nom d'un arbre (non identifié);67
dao arok;nom d'une monnaie traditionnelle de coquillages (lift. feuille de arok);67
aaruru;trombe de vent, tornade cassant tout Sur son passage;67
atela;luette (lit. celle qui demande) (voir a-l et tela);67
-au;suffixe augmentatif dans :;67
hâyau;très grand (< hâc grand);67
phwaliyau;très long (< phwalic long);67
ava-;frère, sœur;67
ava-m;(ou) hâ-ava-m ton frère, ta sœur;67
ava-n;(ou) hâ-ava-n son frère, sa SŒUT;67
ava-m hulac;ton aîné, ton aînée;67
aava;immature, jeune (fruit);67
avaabon;le grand-père (ou la grand- mère) et son petit-enfant (voir a-2 et paabo-);67
aavâläng;sorcier (voir a-l et phâlâng) épuisette (en mer);67
avano;;67
avar;dans :;67
avar-iva ?;de quel côté ?;67
avar-iyôk;de l'autre côté;67
avar-iyôda;de l'autre côté là-haut;67
avar-iyôdu;= avar-imidu de l'autre côté en bas;67
avaraic;dans :;67
mwa avaraic;maison moderne à toit plat en pente;67
avôlô;résidence, ensemble familial d'habitations, chez soi;67
avôlô-ng;chez moi;67
avoona;les maternels (ainsi désignés dans les cérémonies coutumières);67
avuar;être familier, à l'aise, ne pas se gêner (se servir des affaires de qqn, cueillir ses plantes en son absence, faire les choses à sa place);67
no avuale o;je ne me gêne pas avec toi;67
ciwar avuale er waaxêlà;:1l ne faut pas être sans-gêne comme cela avec lui;67
aavuc;mouche domestique;67
awaala;nom d'une étoile (qui guide les navigateurs);67
awi, awin;rire de (transitif);67
no awi la;je ris d'eux;67
no awiin ti Alô;je ris de l'enfant (voir ap);67
awiyada;endroit où réside le chef;67
axa;déictique : cela, tout cela (proche du locuteur);67
axêlà;(visible);67
axili;(non visible);67
aximi;(passé, anaphorique);67
aya;sentir (contact), ressentir, éprouver;67
ayêlâ;pronom démonstratif masculin: celui-là (visible);67
ayill;pronom démonstratif masculin celui-là (non visible maïs qu'on entend) (voir ac? et -ili);68
ayimi;pronom démonstratif masculin celui-là (anaphorique) (voir ac? et -imi);68
ayô;joli (contraction de ac + hô bon, bien);68
ayÔ maa-m;tu es jolie (it. joli ton visage);68
ayu, ayuen;au hasard, n'importe comment, sans importance;68
aju ayu;homme sans importance;68
van ayu;errer;68
bal;poisson : sardine;68
ba?;particule d'aspect marquant le duratif : encore;68
ba ayua-va philu;nous avons encore envie de danser;68
ba bwan;:il fait encore nuit;68
ba cur !;attends ! (litt. encore debout);68
ba thên;bouton de fleur (litt encore fermé);68
ta ba go;il pleure encore;68
ba yer ma-huu;:il est encore en train de manger;68
ba-*;préfixe des noms d'instrument;68
ba-ber;trique;68
ba-chomu;livre;68
ba-haar;rame;68
ba-hic yeek;scie;68
ba-jak;balance;68
ba-ola;éventail (voir vola);68
ba-pera;échelle;68
chao ayu;travailler n'importe comment;68
ina ayuen;faire qqch. n'importe comment;68
ayua-;désir, vouloir, aimer (+ suffixe possessif);68
ayua-ng;je veux, mon désir;68
ayua-m;tu veux, {on désir;68
ayua-n;il veut, son désir;68
ayua-va me hava mo ka;nous;68
voulons;rester ici;68
ayua-ng io;je t'aime;68
ba-4;préfixe des nombres ordinaux (se combine avec les classificateurs numéraux);68
ba-karu;le deuxième (animé);68
ba-pwaru;la deuxième (chose);68
ba-pwar cen;la troisième (chose);68
timi ba-aorar cen;la troisième fois;68
baaba;poisson : sorte de picot de rivière;68
